,Labeled Data,DataRow ID,Compassion,Aggression,Count
0,"  A murderer and a villain, A slave that is not twentieth part the tithe  Of your precedent lord, a vice of kings, A cutpurse of the empire and the rule, That from a shelf the precious diadem stole And put it in his pocket--",ckqi3joq1ebwt0yu3goiccmr6,0.0,2.0,3
1,"  I shall obey you. And for your part, Ophelia, I do wish That your good beauties be the happy cause Of Hamlet's wildness. So shall I hope your virtues Will bring him to his wonted way again, To both your honors.",ckqi3jopfeaed0yu3c0kg9hvv,3.0,0.0,3
2,"  Lay her i'th'earth, And from her fair and unpolluted flesh May violets spring! I tell thee, churlish priest, A minist'ring angel shall my sister be When thou liest howling. Hamlet  What, the fair Ophelia? Queen  Sweets to the sweet! Farewell. I hoped thou shouldst have been my Hamlet's wife. I thought thy bride-bed to have decked, sweet maid, And not t'have strewed thy grave.   Oh, terrible woe  Fall ten times treble on that cursèd head Whose wicked deed thy most ingenious sense Deprived thee of! Hold off the earth awhile, Till I have caught her once more in mine arms.  Now pile your dust upon the quick and dead, Till of this flat a mountain you have made To o'ertop old Pelion, or the skyish head Of blue Olympus. Hamlet  What is he whose griefs  Bears such an emphasis, whose phrase of sorrow Conjure the wand'ring stars, and makes them stand Like wonder-wounded hearers? This is I, Hamlet the Dane. LaertesThe devil take thy soul!",ckqi3joobe8eu0yu3bx0dcm97,3.0,3.0,3
3,"  Nay, but to live In the rank sweat of an enseamèd bed, Stewed in corruption, honeying and making love Over the nasty sty!",ckqi3joohe8tp0yu3g35a60r9,0.0,1.0,3
4,"  Such an act That blurs the grace and blush of modesty, Calls virtue hypocrite, takes off the rose From the fair forehead of an innocent love And makes a blister there, makes marriage vows As false as dicers' oaths--oh, such a deed As from the body of contraction plucks The very soul, and sweet religion makes A rhapsody of words. Heaven's face doth glow, Yea, this solidity and compound mass, With tristful visage as against the doom, Is thought-sick at the act.",ckqi3joope9k30yu3diiqgl2d,0.0,1.0,2
5, Do they hold the same estimation they did  when I was in the city? Are they so followed?,ckqi3joo5e8270yu3hcf7eabx,0.0,0.0,3
6, Dost thou think Alexander looked o' this  fashion i'th'earth?,ckqi3jopoeall0yu3auy60slh,0.0,0.0,3
7," Dream on thy cousins smother'd in the Tower: Let us be led within thy bosom, Richard, And weigh thee down to ruin, shame, and death! Thy nephews' souls bid thee despair and die! Sleep, Richmond, sleep in peace, and wake in joy; Good angels guard thee from the boar's annoy! Live, and beget a happy race of kings! Edward's unhappy sons do bid thee flourish.",ckqi3jooie8ww0yu349nlawf6,3.0,2.0,4
8," Follow him, friends. We'll hear a play  tomorrow.  Dost thou hear me, old friend, can you play The Murder of Gonzago?",ckqi3jopfeady0yu3g2afcxlm,3.0,0.0,3
9, Give me some light. Away!,ckqi3joo8e8950yu394i9g5va,0.0,0.0,3
10," Good my lord, put your discourse into some  frame, and start not so wildly from my affair.",ckqi3jooee8kt0yu3h75k3qbg,0.0,0.0,3
11," Haste, haste me to know it,  that with wings as swift  As meditation, or the thoughts of love, May sweep to my revenge.",ckqi3jop9e9wg0yu330pfdn38,0.0,2.0,4
12," He will come straight.  Look you lay home to him. Tell him his pranks have been too broad to bear with, And that your grace hath screened and stood between Much heat and him. I'll silence me e'en here. Pray you, be round with him. Hamletwithin Mother, mother, mother!",ckqi3joo8e88b0yu36845bi24,0.0,0.0,3
13," I am lost in it, my lord. But let him come. It warms the very sickness in my heart That I shall live and tell him to his teeth ""Thus diddest thou.""",ckqi3joofe8nq0yu34vrf913z,0.0,2.0,3
14," I do not think so. Since he went into France,  I have been in continual practice; I shall win at the  odds. But thou wouldest not think how all here  about my heart, but it is no matter.",ckqi3jop7e9rq0yu3aeg94qva,0.0,0.0,3
15," Let not thy mother lose her prayers, Hamlet.  I prithee stay with us, go not to Wittenberg.",ckqi3jopseb2j0yu3esaba05o,0.0,0.0,3
16," Marry, I'll teach you. Think yourself a baby, That you have ta'en his tenders for true pay Which are not sterling. Tender yourself more dearly, Or--not to crack the wind of the poor phrase Roaming it thus--you'll tender me a fool.",ckqi3jopvebbu0yu3a82de0aa,1.0,0.0,3
17, No more!,ckqi3jooje8yk0yu35qywdve6,0.0,0.0,3
18," Prison, my lord?",ckqi3jopyeblz0yu35c577qhu,0.0,0.0,3
19," Sailors, sir. They say they have letters for you.",ckqi3jopeeac00yu3c60zblq6,0.0,0.0,1
20," So you mistake husbands.--  Begin, murderer. Pox, leave thy damnable faces and  begin. Come, the croaking raven doth bellow for  revenge.",ckqi3jop8e9sz0yu31w7wb0gd,0.0,2.0,2
21, Swear.,ckqi3jopyebn80yu3gtplbwup,0.0,0.0,2
22," The lady protests too much, methinks.",ckqi3jopzebr90yu38kavb1fa,0.0,0.0,3
23," Welcome, dear Rosencrantz and Guildenstern. Moreover that we much did long to see you, The need we have to use you did provoke Our hasty sending. Something have you heard Of Hamlet's transformation--so I call it, Since not th'exterior nor the inward man Resembles that it was. What it should be, More than his father's death, that thus hath put him So much from th'understanding of himself, I cannot deem of. I entreat you both That, being of so young days brought up with him, And since so neighbored to his youth and humor, That you vouchsafe your rest here in our court Some little time, so by your companies To draw him on to pleasures, and to gather So much as from occasions you may glean That, opened, lies within our remedy.",ckqi3jop8e9u30yu3h6dc8dxh,3.0,0.0,3
24," Will you ha' the truth on't? If this had not  been a gentlewoman, she should have been buried  out of Christian burial.",ckqi3jopfeade0yu35dgk5pvy,0.0,1.0,4
25," Without, my lord, guarded, to know your  pleasure.",ckqi3joope9jj0yu37il97x2k,0.0,0.0,3
26," Your grace shall understand that at the receipt of your letter I am very sick: but in the instant that your messenger came, in loving visitation was with me a young doctor of Rome; his name is Balthasar. I acquainted him with the cause in controversy between the Jew and Antonio the merchant: we turned o'er many books together: he is furnished with my opinion; which, bettered with his own learning, the greatness whereof I cannot enough commend, comes with him, at my importunity, to fill up your grace's request in my stead. I beseech you, let his lack of years be no impediment to let him lack a reverend estimation; for I never knew so young a body with so old a head. I leave him to your gracious acceptance, whose trial shall better publish his commendation.",ckqi3jopfeafh0yu3dhjsemkc,3.0,0.0,3
27,"""Go to, thou art made, if thou desir'st to be so--""",ckqi3jooce8hm0yu33y2v7itf,0.0,0.0,3
28,"""To the unknown belovèd, this, and my good wishes."" Her very phrases! By your leave, wax. Soft! And the  impressure her Lucrece, with which she uses to seal. 'Tis my  lady! To whom should this be?",ckqi3jopxebk10yu314x94ow3,2.0,0.0,2
29,"'Alla nostra casa ben venuto, molto honorato signor mio Petruchio.' Rise, Grumio, rise: we will compound this quarrel.",ckqi3jopbea1b0yu3byb797xv,1.0,0.0,3
30,"'Bless thee, bully-doctor.",ckqi3joppeaox0yu30qd8h8r6,1.0,0.0,2
31,"'Imprimis, a loose-bodied gown:'",ckqi3jopwebh40yu38pirflzt,0.0,0.0,3
32,"'Slight, will you make an ass o'me?",ckqi3jooke93u0yu38hgcd4vc,0.0,1.0,3
33,'Tis a fault I will not change for your best virtue. I am weary of you.,ckqi3joo8e89k0yu33cvt3xv7,0.0,3.0,3
34,"'Tis certain there's not a boy left alive; and the cowardly rascals that ran from the battle ha' done this slaughter: besides, they have burned and carried away all that was in the king's tent; wherefore the king, most worthily, hath caused every soldier to cut his prisoner's throat. O, 'tis a gallant king!",ckqi3jooce8iv0yu36vntg0c9,0.0,2.0,3
35,'Tis full of thy foul wrongs.,ckqi3jopueb6p0yu3d5pcd7gs,0.0,2.0,2
36,"'Tis true, fair daughter; and this blessed day Ever in France shall be kept festival: To solemnize this day the glorious sun Stays in his course and plays the alchemist, Turning with splendor of his precious eye The meagre cloddy earth to glittering gold: The yearly course that brings this day about Shall never see it but a holiday.",ckqi3joome98p0yu3fv1rghzm,0.0,0.0,3
37,"'Tis true. There's magic in the web of it: A sybil that had numbered in the world The sun to course two hundred compasses, In her prophetic fury sewed the work; The worms were hallowed that did breed the silk, And it was dyed in mummy, which the skillful Conserved of maidens' hearts.",ckqi3jooqe9ot0yu3deun4bpf,0.0,0.0,3
38,"'Tis well blown, lads: This morning, like the spirit of a youth That means to be of note, begins betimes. So, so; come, give me that: this way; well said. Fare thee well, dame, whate'er becomes of me: This is a soldier's kiss: rebukeable And worthy shameful cheque it were, to stand On more mechanic compliment; I'll leave thee Now, like a man of steel. You that will fight, Follow me close; I'll bring you to't. Adieu.",ckqi3joq0ebug0yu39d7g0x69,1.0,0.0,3
39,'With a small compassed cape:',ckqi3jopzebqa0yu3ho2sh3yo,0.0,0.0,4
40,"A gentleman of Tyre; my name, Pericles; My education been in arts and arms; Who, looking for adventures in the world, Was by the rough seas reft of ships and men, And after shipwreck driven upon this shore.",ckqi3joone9cq0yu3b6xz7qhv,0.0,0.0,3
41,A hundred then.,ckqi3jooqe9mv0yu3fxr77jy2,0.0,0.0,3
42,A kissing traitor. How art thou proved Judas?,ckqi3jopteb470yu34rt54gxz,0.0,2.0,3
43,"A mark! O, mark but that mark! A mark, says my lady! Let the mark have a prick in't, to mete at, if it may be.",ckqi3jooie8vd0yu370ndflvy,0.0,0.0,3
