title,pdf_link,male_characters,female_characters,other_characters,start_page,end_page,author,year,genre
"Dido, Queen of Carthage",http://elizabethandrama.org/wp-content/uploads/2017/12/Dido-Queen-of-Carthage-Script.pdf,"Aeneas., Asca., Iarb., Achat., Ilio., Cloan., Serg., Jup., Cupid., First Lord.","Dido., Anna., Venus., Juno., Nurse.",,3,2,Christopher Marlowe,1585-1586,Tragedy
"Tamburlaine the Great, Part One",http://elizabethandrama.org/wp-content/uploads/2017/08/Tamburlaine-Part-One-Script.pdf,"Tamb., Tech., Usum., Ther., Myc., Cos., Cen., Orty., Meand., Men., Baj., K. of Arg., K. of Fess., K. of Mor., Alcidamus., Sold., Gov., Agyd., Mag., Capo.","Zeno., Zab., Anip., Ebea., 1st Virg., 2nd Virg.",,4,2,Christopher Marlowe,1586-1587,Historical
"Tamburlaine the Great, Part Two",http://elizabethandrama.org/wp-content/uploads/2017/09/Tamburlaine-Part-Two-Script.pdf,"Tamb., Tech., Usum., Ther., Caly., Amyr., Celeb., Orcan., K. of Jer., K. of Soria., K. of Treb., Gaz., Urib., Sigis., Fred., Bald., Call., Alm., K. of Amas., Gov., Capt., Max., Peridicas","Zeno., Olym.",,4,2,Christopher Marlowe,1587,Historical
The Jew of Malta,http://elizabethandrama.org/wp-content/uploads/2019/12/Jew-of-Malta-Script.pdf,"Mach., Barab., Itha., Fern., Lodo., Math., Fr. Jac., Fr. Bar., Caly., Bosco., Pilia., Merch., 1st Knight., 2nd Knight.,1st Off., 2nd Off., Officer., Basso., 1st Basso., 1st Carp.","Abig., Kath., Abbess., Bell.","1st Jew., 2nd Jew., 3rd Jew., Mess., Slave.",5,0,Christopher Marlowe,1589-1590,Tragedy
The Massacre at Paris,http://elizabethandrama.org/wp-content/uploads/2020/01/Massacre-at-Paris-Script.pdf,"K. Char., Anjou., K. Henry., Dum., Card., Gu.â€™s Son., Gonz., Retes., Mount., CondÃ©, Adm., Joy., Eper., Muger., Nav., PleshÃ©., Bart., Lor., Seroune., Ramus., Tale., 1st Lord., Friar., Surg., Capt., Man., Guise.","Cath., Qu. Marg., Duch., Maid., Old Qu., Ser.â€™s Wife.","Cutpurse., Apoth., 1st Prot., Sold., 1st M., 2nd M., 3rd M.",5,2,Christopher Marlowe,1592,Historical
Edward II,http://elizabethandrama.org/wp-content/uploads/2017/11/Edward-II-Script.pdf,"K. Edw., Edw. III., Pr. Edw., Kent., Gav., E. Spen., Y. Spen., Bald., Arun., Beau., Lev., War., Pemb., James., Lanc., Leic., Berk., E. Mort., Y. Mort., A. of Cant., Bish. of Cov., B. of Win., Trus., Sir John., Rice., Gurn., Mat., Light., Abb., Monk., Her., 1st P. Man., 2nd P. Man., 3rd P. Man., Mower., Sold., 1st Lord., 2nd Lord.","Q. Isab., Marg.","Champ., Mess.",4,2,Christopher Marlowe,1592,Historical
Love's Sacrifice,http://elizabethandrama.org/wp-content/uploads/2022/12/Loves-Sacrifice-Script.pdf,"Duke., Dâ€™Av., Ferna., Feren., Ros., Abbot., Pet., Nib., Maur., Gia.","Bian., Fiorm., Col., Jul., Mor.",All.,3,2,John Ford,1628-1632,Tragicomedy
Perkin Warbeck,http://elizabethandrama.org/wp-content/uploads/2022/03/Perkin-Warbeck-Script.pdf,"King Hen., Dawb., Stan., Oxf., Sur., B. of Dur., Urs., Clif., Sim., Hial., K. Ja., Hunt., Craw., Daly., March., Warb., Frion., J. a-Wat., Heron., Sket., Ast., Const., Mess.","Kath., Jane., Countess of C.",,7,2,John Ford,1634,Historical
"Alphonsus, King of Aragon",http://elizabethandrama.org/wp-content/uploads/2021/03/Alphonsus-Script.pdf,,,,3,2,Robert Greene,,
Friar Bacon and Friar Bungay,http://elizabethandrama.org/wp-content/uploads/2020/01/Friar-Bacon-Script.pdf,,,,3,2,Robert Greene,,
The Taming of a Shrew,http://elizabethandrama.org/wp-content/uploads/2020/01/Taming-of-a-Shrew-Script.pdf,,,,3,1,,,
Arden of Feversham,http://elizabethandrama.org/wp-content/uploads/2021/10/Arden-of-Feversham-Script.pdf,,,,3,2,,,
"George-a-Greene, the Pinner of Wakefield",http://elizabethandrama.org/wp-content/uploads/2021/07/George-a-Green-Script.pdf,,,,3,2,,,
The Summoning of Everyman,http://elizabethandrama.org/wp-content/uploads/2023/01/Everyman-Script.pdf,,,,5,0,,,
Gorboduc,http://elizabethandrama.org/wp-content/uploads/2017/05/Gorboduc-Script-1.pdf,,,,4,2,,,
Ralph Roister Doister,http://elizabethandrama.org/wp-content/uploads/2018/09/Ralph-Roister-Doister-Script.pdf,,,,5,1,,,
Orlando Furioso,http://elizabethandrama.org/wp-content/uploads/2020/09/Orlando-Furioso-Script.pdf,,,,4,3,,,
A Looking Glass for London,http://elizabethandrama.org/wp-content/uploads/2020/12/A-Looking-Glass-for-London-Script.pdf,,,,5,3,,,
The Scottish History of James the Fourth,http://elizabethandrama.org/wp-content/uploads/2021/06/James-IV-Script.pdf,,,,3,3,,,
Campaspe,http://elizabethandrama.org/wp-content/uploads/2017/02/Campaspe-Script.pdf,,,,6,2,,,
Sapho and Phao,http://elizabethandrama.org/wp-content/uploads/2022/03/Sapho-and-Phao-Script.pdf,,,,6,2,,,
Love’s Metamorphosis,http://elizabethandrama.org/wp-content/uploads/2022/05/Loves-Meta-Script.pdf,,,,3,2,,,
Midas,http://elizabethandrama.org/wp-content/uploads/2021/11/Midas-Script.pdf,,,,4,1,,,
Doctor Faustus A Text,http://elizabethandrama.org/wp-content/uploads/2018/05/Doctor-Faustus-A-Text-Script.pdf,,,,5,0,,,
Doctor Faustus B Text,http://elizabethandrama.org/wp-content/uploads/2018/05/Dr.-Faustus-B-Text-Script.pdf,,,,4,3,,,
Edward I,http://elizabethandrama.org/wp-content/uploads/2019/10/Edward-I-Script.pdf,,,,6,0,,,
